#Wins,Best CMM Ranking,Best WP Ranking,Best Justice Ranking,Best Elo Ranking,CMM score for best CMM ranking,WP score for best WP ranking,Justice score for best Justice ranking,Elo score for best Elo ranking        
972.0,15.0,15.0,30.0,9.0,0.94883,0.950147,1.39672,2416.44
971.0,17.0,17.0,32.0,6.0,0.947856,0.949169,1.39209,2445.14
970.0,17.0,17.0,32.0,6.0,0.946881,0.948192,1.39229,2435.72
969.0,18.0,18.0,32.0,9.0,0.945906,0.947214,1.39371,2412.2
968.0,20.0,20.0,34.0,6.0,0.944932,0.946237,1.38897,2433.34
967.0,21.0,21.0,36.0,8.0,0.943957,0.945259,1.38526,2427.12
966.0,21.0,21.0,37.0,8.0,0.942982,0.944282,1.38425,2420.27
965.0,24.0,24.0,38.0,10.0,0.942008,0.943304,1.38195,2407.08
964.0,25.0,25.0,38.0,9.0,0.941033,0.942326,1.38115,2419.41
963.0,26.0,26.0,38.0,9.0,0.940058,0.941349,1.38045,2410.86
962.0,27.0,27.0,41.0,9.0,0.939084,0.940371,1.37829,2404.48
961.0,28.0,28.0,45.0,8.0,0.938109,0.939394,1.37316,2423.09
960.0,29.0,29.0,45.0,9.0,0.937135,0.938416,1.37414,2410.87
959.0,30.0,30.0,46.0,9.0,0.93616,0.937439,1.37266,2410.99
958.0,32.0,32.0,48.0,9.0,0.935185,0.936461,1.37134,2407.74
957.0,32.0,32.0,48.0,11.0,0.934211,0.935484,1.36908,2398.91
956.0,34.0,34.0,50.0,9.0,0.933236,0.934506,1.36677,2403.05
955.0,34.0,34.0,52.0,10.0,0.932261,0.933529,1.36437,2405.45
954.0,34.0,34.0,54.0,9.0,0.931287,0.932551,1.36162,2409.58
953.0,36.0,36.0,54.0,12.0,0.930312,0.931574,1.36072,2393.9
952.0,36.0,36.0,55.0,15.0,0.929337,0.930596,1.35335,2380.96
951.0,38.0,38.0,55.0,15.0,0.928363,0.929619,1.35305,2375.59
950.0,39.0,39.0,55.0,15.0,0.927388,0.928641,1.35571,2377.31
949.0,39.0,39.0,56.0,12.0,0.926413,0.927664,1.34803,2391.23
948.0,39.0,39.0,56.0,13.0,0.925439,0.926686,1.3484,2386.01
947.0,40.0,40.0,56.0,9.0,0.924464,0.925709,1.35109,2406.0
946.0,41.0,41.0,57.0,16.0,0.923489,0.924731,1.3456,2366.6
945.0,42.0,42.0,58.0,19.0,0.922515,0.923754,1.34007,2345.78
944.0,45.0,45.0,58.0,15.0,0.92154,0.922776,1.33934,2375.31
943.0,46.0,46.0,58.0,19.0,0.920565,0.921799,1.34176,2344.19
942.0,48.0,48.0,58.0,19.0,0.919591,0.920821,1.33985,2351.13
941.0,50.0,50.0,58.0,16.0,0.918616,0.919844,1.34015,2371.42
940.0,51.0,51.0,58.0,11.0,0.917641,0.918866,1.34049,2393.08
939.0,51.0,51.0,59.0,19.0,0.916667,0.917889,1.33409,2343.76
938.0,51.0,51.0,62.0,19.0,0.915692,0.916911,1.32915,2346.41
937.0,51.0,51.0,62.0,16.0,0.914717,0.915934,1.32927,2372.28
936.0,53.0,53.0,62.0,19.0,0.913743,0.914956,1.32952,2350.06
935.0,55.0,55.0,63.0,21.0,0.912768,0.913978,1.32334,2333.11
934.0,56.0,56.0,63.0,21.0,0.911793,0.913001,1.32395,2328.04
933.0,56.0,56.0,64.0,25.0,0.910819,0.912023,1.32146,2307.93
932.0,58.0,58.0,65.0,16.0,0.909844,0.911046,1.31744,2368.64
931.0,58.0,58.0,65.0,26.0,0.908869,0.910068,1.31956,2305.89
930.0,58.0,58.0,65.0,29.0,0.907895,0.909091,1.31765,2298.72
929.0,58.0,58.0,66.0,30.0,0.90692,0.908113,1.31523,2296.17
928.0,58.0,58.0,68.0,31.0,0.905945,0.907136,1.31328,2293.89
927.0,58.0,58.0,69.0,30.0,0.904971,0.906158,1.3112,2296.33
926.0,58.0,58.0,71.0,25.0,0.903996,0.905181,1.30955,2307.91
925.0,58.0,58.0,73.0,25.0,0.903021,0.904203,1.30558,2311.11
924.0,58.0,58.0,75.0,23.0,0.902047,0.903226,1.30408,2318.18
923.0,58.0,58.0,75.0,29.0,0.901072,0.902248,1.304,2297.9
922.0,58.0,58.0,77.0,19.0,0.900097,0.901271,1.29668,2343.44
921.0,59.0,59.0,77.0,35.0,0.899123,0.900293,1.30039,2269.36
920.0,59.0,59.0,77.0,29.0,0.898148,0.899316,1.29707,2300.0
919.0,59.0,59.0,77.0,22.0,0.897173,0.898338,1.29669,2326.52
918.0,59.0,59.0,79.0,31.0,0.896199,0.897361,1.29324,2291.91
917.0,60.0,60.0,81.0,25.0,0.895224,0.896383,1.28864,2308.98
916.0,61.0,61.0,80.0,19.0,0.89425,0.895406,1.29132,2342.02
915.0,62.0,62.0,80.0,42.0,0.893275,0.894428,1.29156,2259.46
914.0,63.0,63.0,85.0,33.0,0.8923,0.893451,1.28289,2274.12
913.0,63.0,63.0,82.0,33.0,0.891326,0.892473,1.28638,2286.01
912.0,64.0,64.0,85.0,26.0,0.890351,0.891496,1.28268,2305.46
911.0,65.0,65.0,85.0,39.0,0.889376,0.890518,1.28084,2263.33
910.0,68.0,68.0,85.0,28.0,0.888402,0.889541,1.28005,2301.61
909.0,68.0,68.0,89.0,39.0,0.887427,0.888563,1.27646,2264.52
908.0,69.0,69.0,92.0,44.0,0.886452,0.887586,1.27418,2243.98
907.0,72.0,72.0,93.0,27.0,0.885478,0.886608,1.27288,2303.41
906.0,72.0,72.0,93.0,31.0,0.884503,0.88563,1.26969,2291.69
905.0,72.0,72.0,93.0,45.0,0.883528,0.884653,1.27223,2242.67
904.0,73.0,73.0,94.0,39.0,0.882554,0.883675,1.26497,2263.19
903.0,73.0,73.0,94.0,43.0,0.881579,0.882698,1.26471,2254.18
902.0,74.0,74.0,95.0,30.0,0.880604,0.88172,1.2639,2295.66
901.0,75.0,75.0,96.0,42.0,0.87963,0.880743,1.26321,2258.26
900.0,75.0,75.0,99.0,43.0,0.878655,0.879765,1.25729,2251.07
899.0,76.0,76.0,99.0,50.0,0.87768,0.878788,1.25724,2228.32
898.0,79.0,79.0,100.0,50.0,0.876706,0.87781,1.25474,2221.43
897.0,81.0,81.0,100.0,42.0,0.875731,0.876833,1.25426,2260.33
896.0,82.0,82.0,101.0,39.0,0.874756,0.875855,1.25445,2262.76
895.0,83.0,83.0,106.0,52.0,0.873782,0.874878,1.2467,2192.1
894.0,83.0,83.0,106.0,50.0,0.872807,0.8739,1.24683,2227.12
893.0,85.0,85.0,108.0,52.0,0.871832,0.872923,1.24449,2201.77
892.0,86.0,86.0,109.0,33.0,0.870858,0.871945,1.24192,2276.49
891.0,87.0,87.0,110.0,50.0,0.869883,0.870968,1.24198,2222.24
890.0,87.0,87.0,109.0,49.0,0.868908,0.86999,1.24144,2232.46
889.0,88.0,88.0,112.0,35.0,0.867934,0.869013,1.23664,2269.93
888.0,89.0,89.0,113.0,51.0,0.866959,0.868035,1.23448,2210.42
887.0,89.0,89.0,113.0,47.0,0.865984,0.867058,1.23422,2232.77
886.0,92.0,92.0,114.0,50.0,0.86501,0.86608,1.2313,2226.19
885.0,93.0,93.0,114.0,53.0,0.864035,0.865103,1.23099,2186.46
884.0,93.0,93.0,115.0,51.0,0.86306,0.864125,1.23024,2216.94
883.0,94.0,94.0,117.0,47.0,0.862086,0.863148,1.2273,2235.5
882.0,94.0,94.0,119.0,51.0,0.861111,0.86217,1.22506,2214.66
881.0,94.0,94.0,119.0,53.0,0.860136,0.861193,1.22382,2186.13
880.0,94.0,94.0,121.0,51.0,0.859162,0.860215,1.21813,2216.88
879.0,96.0,96.0,121.0,52.0,0.858187,0.859238,1.21819,2199.07
878.0,96.0,96.0,122.0,53.0,0.857212,0.85826,1.2177,2186.44
877.0,96.0,96.0,123.0,43.0,0.856238,0.857283,1.21077,2247.99
876.0,98.0,98.0,123.0,51.0,0.855263,0.856305,1.21135,2218.06
875.0,99.0,99.0,123.0,56.0,0.854288,0.855327,1.21333,2182.41
874.0,100.0,100.0,123.0,62.0,0.853314,0.85435,1.21328,2164.34
873.0,100.0,100.0,126.0,55.0,0.852339,0.853372,1.20639,2184.26
872.0,101.0,101.0,126.0,50.0,0.851365,0.852395,1.20561,2223.92
871.0,103.0,103.0,128.0,47.0,0.85039,0.851417,1.20345,2238.9
870.0,105.0,105.0,129.0,51.0,0.849415,0.85044,1.19941,2215.98
869.0,108.0,108.0,128.0,51.0,0.848441,0.849462,1.20006,2208.31
868.0,110.0,110.0,131.0,52.0,0.847466,0.848485,1.19797,2189.6
867.0,111.0,111.0,132.0,52.0,0.846491,0.847507,1.19175,2199.46
866.0,112.0,112.0,132.0,62.0,0.845517,0.84653,1.19149,2158.79
865.0,112.0,112.0,132.0,52.0,0.844542,0.845552,1.19224,2187.37
864.0,113.0,113.0,134.0,52.0,0.843567,0.844575,1.18967,2204.19
863.0,113.0,113.0,135.0,52.0,0.842593,0.843597,1.18824,2196.46
862.0,113.0,113.0,136.0,61.0,0.841618,0.84262,1.18793,2171.97
861.0,113.0,113.0,137.0,62.0,0.840643,0.841642,1.18244,2158.97
860.0,113.0,113.0,137.0,61.0,0.839669,0.840665,1.17889,2166.08
859.0,114.0,114.0,137.0,58.0,0.838694,0.839687,1.1792,2174.18
858.0,118.0,118.0,138.0,57.0,0.837719,0.83871,1.17903,2176.29
857.0,118.0,118.0,140.0,65.0,0.836745,0.837732,1.17645,2150.42
856.0,119.0,119.0,140.0,68.0,0.83577,0.836755,1.17541,2140.61
855.0,120.0,120.0,141.0,62.0,0.834795,0.835777,1.17512,2159.88
854.0,121.0,121.0,141.0,61.0,0.833821,0.8348,1.17169,2165.11
853.0,122.0,122.0,141.0,61.0,0.832846,0.833822,1.17021,2168.46
852.0,122.0,122.0,142.0,68.0,0.831871,0.832845,1.16824,2143.24
851.0,123.0,123.0,144.0,62.0,0.830897,0.831867,1.16618,2158.82
850.0,123.0,123.0,144.0,68.0,0.829922,0.83089,1.16582,2141.08
849.0,124.0,124.0,145.0,74.0,0.828947,0.829912,1.16215,2130.32
848.0,124.0,124.0,150.0,77.0,0.827973,0.828935,1.15823,2122.62
847.0,125.0,125.0,152.0,65.0,0.826998,0.827957,1.15705,2150.65
846.0,127.0,127.0,153.0,73.0,0.826023,0.826979,1.15391,2134.44
845.0,129.0,129.0,153.0,65.0,0.825049,0.826002,1.15414,2148.29
844.0,131.0,131.0,155.0,67.0,0.824074,0.825024,1.14959,2145.21
843.0,131.0,131.0,155.0,83.0,0.823099,0.824047,1.14876,2115.23
842.0,132.0,132.0,155.0,62.0,0.822125,0.823069,1.14822,2156.37
841.0,133.0,133.0,156.0,74.0,0.82115,0.822092,1.1464,2130.33
840.0,133.0,133.0,158.0,53.0,0.820175,0.821114,1.14346,2185.14
839.0,133.0,133.0,160.0,65.0,0.819201,0.820137,1.13835,2147.36
838.0,133.0,133.0,160.0,70.0,0.818226,0.819159,1.13522,2136.73
837.0,133.0,133.0,160.0,68.0,0.817251,0.818182,1.13791,2142.2
836.0,133.0,133.0,160.0,70.0,0.816277,0.817204,1.13771,2137.04
835.0,135.0,135.0,160.0,73.0,0.815302,0.816227,1.13476,2131.07
834.0,136.0,136.0,160.0,68.0,0.814327,0.815249,1.13497,2138.16
833.0,136.0,136.0,163.0,81.0,0.813353,0.814272,1.1251,2117.1
832.0,137.0,137.0,163.0,83.0,0.812378,0.813294,1.12581,2114.17
831.0,138.0,138.0,163.0,88.0,0.811404,0.812317,1.12481,2094.38
830.0,139.0,139.0,163.0,87.0,0.810429,0.811339,1.12445,2100.59
829.0,139.0,139.0,164.0,76.0,0.809454,0.810362,1.11975,2130.61
828.0,139.0,139.0,164.0,90.0,0.80848,0.809384,1.11841,2088.06
827.0,140.0,140.0,164.0,87.0,0.807505,0.808407,1.1201,2100.73
826.0,143.0,143.0,164.0,86.0,0.80653,0.807429,1.11758,2104.23
825.0,144.0,144.0,168.0,87.0,0.805556,0.806452,1.11261,2099.22
824.0,144.0,144.0,168.0,65.0,0.804581,0.805474,1.11272,2149.81
823.0,145.0,145.0,168.0,72.0,0.803606,0.804497,1.11207,2132.89
822.0,146.0,146.0,169.0,92.0,0.802632,0.803519,1.10801,2080.42
821.0,149.0,149.0,170.0,68.0,0.801657,0.802542,1.10844,2142.6
820.0,149.0,149.0,171.0,88.0,0.800682,0.801564,1.10373,2096.47
819.0,151.0,151.0,172.0,87.0,0.799708,0.800587,1.10331,2100.88
818.0,152.0,152.0,172.0,83.0,0.798733,0.799609,1.10257,2113.95
817.0,153.0,153.0,176.0,61.0,0.797758,0.798631,1.09761,2164.26
816.0,153.0,153.0,176.0,92.0,0.796784,0.797654,1.09819,2078.66
815.0,153.0,153.0,177.0,90.0,0.795809,0.796676,1.09187,2087.56
814.0,154.0,154.0,177.0,89.0,0.794834,0.795699,1.09188,2092.08
813.0,154.0,154.0,177.0,81.0,0.79386,0.794721,1.09259,2117.64
812.0,154.0,154.0,179.0,86.0,0.792885,0.793744,1.08719,2106.13
811.0,155.0,155.0,179.0,92.0,0.79191,0.792766,1.08774,2084.3
810.0,157.0,157.0,179.0,83.0,0.790936,0.791789,1.0872,2113.53
809.0,157.0,157.0,184.0,90.0,0.789961,0.790811,1.08293,2087.26
808.0,157.0,157.0,185.0,105.0,0.788986,0.789834,1.08206,2043.77
807.0,157.0,157.0,185.0,88.0,0.788012,0.788856,1.08175,2096.7
806.0,158.0,158.0,188.0,94.0,0.787037,0.787879,1.07751,2070.82
805.0,159.0,159.0,189.0,87.0,0.786062,0.786901,1.0748,2100.64
804.0,159.0,159.0,190.0,94.0,0.785088,0.785924,1.0724,2070.98
803.0,160.0,160.0,189.0,93.0,0.784113,0.784946,1.07339,2069.54
802.0,160.0,160.0,189.0,92.0,0.783138,0.783969,1.07378,2081.23
801.0,162.0,162.0,191.0,107.0,0.782164,0.782991,1.07147,2029.29
800.0,163.0,163.0,194.0,96.0,0.781189,0.782014,1.06903,2065.04
799.0,163.0,163.0,194.0,102.0,0.780214,0.781036,1.06873,2057.56
798.0,164.0,164.0,200.0,102.0,0.77924,0.780059,1.06195,2057.87
797.0,164.0,164.0,198.0,93.0,0.778265,0.779081,1.06545,2072.5
796.0,165.0,165.0,201.0,112.0,0.77729,0.778104,1.06056,2022.58
795.0,166.0,166.0,201.0,107.0,0.776316,0.777126,1.05933,2030.69
794.0,167.0,167.0,204.0,106.0,0.775341,0.776149,1.05478,2032.8
793.0,169.0,169.0,209.0,94.0,0.774366,0.775171,1.05346,2066.68
792.0,170.0,170.0,210.0,97.0,0.773392,0.774194,1.05072,2063.82
791.0,171.0,171.0,211.0,96.0,0.772417,0.773216,1.04864,2066.01
790.0,171.0,171.0,212.0,79.0,0.771442,0.772239,1.04648,2119.87
789.0,171.0,171.0,213.0,112.0,0.770468,0.771261,1.04261,2022.94
788.0,172.0,172.0,212.0,131.0,0.769493,0.770283,1.04533,1989.66
787.0,172.0,172.0,215.0,106.0,0.768519,0.769306,1.04177,2033.73
786.0,173.0,173.0,215.0,106.0,0.767544,0.768328,1.0413,2034.39
785.0,175.0,175.0,219.0,107.0,0.766569,0.767351,1.03816,2032.02
784.0,175.0,175.0,221.0,106.0,0.765595,0.766373,1.03585,2037.85
783.0,177.0,177.0,223.0,102.0,0.76462,0.765396,1.03256,2057.7
782.0,178.0,178.0,223.0,113.0,0.763645,0.764418,1.03454,2019.88
781.0,178.0,178.0,225.0,103.0,0.762671,0.763441,1.02703,2050.0
780.0,178.0,178.0,225.0,107.0,0.761696,0.762463,1.02568,2031.49
779.0,179.0,179.0,226.0,90.0,0.760721,0.761486,1.02436,2087.45
778.0,181.0,181.0,225.0,131.0,0.759747,0.760508,1.02335,1990.13
777.0,183.0,183.0,225.0,107.0,0.758772,0.759531,1.02419,2030.56
776.0,185.0,185.0,225.0,122.0,0.757797,0.758553,1.02371,2005.72
775.0,185.0,185.0,230.0,118.0,0.756823,0.757576,1.0195,2007.25
774.0,187.0,187.0,231.0,130.0,0.755848,0.756598,1.01463,1993.69
773.0,188.0,188.0,231.0,103.0,0.754873,0.755621,1.01664,2051.14
772.0,190.0,190.0,231.0,108.0,0.753899,0.754643,1.01506,2030.02
771.0,191.0,191.0,233.0,128.0,0.752924,0.753666,1.01275,1995.6
770.0,192.0,192.0,233.0,108.0,0.751949,0.752688,1.00945,2029.59
769.0,193.0,193.0,235.0,129.0,0.750975,0.751711,1.00421,1993.41
768.0,194.0,194.0,235.0,111.0,0.75,0.750733,1.00503,2024.75
767.0,196.0,196.0,235.0,132.0,0.749025,0.749756,1.00295,1982.48
766.0,196.0,196.0,236.0,133.0,0.748051,0.748778,0.999996,1982.05
765.0,198.0,198.0,239.0,126.0,0.747076,0.747801,0.997302,1998.85
764.0,200.0,200.0,237.0,133.0,0.746101,0.746823,1.00026,1980.67
763.0,203.0,203.0,240.0,121.0,0.745127,0.745846,0.997873,2004.88
762.0,204.0,204.0,241.0,117.0,0.744152,0.744868,0.994913,2009.39
761.0,205.0,205.0,243.0,103.0,0.743177,0.743891,0.990009,2049.04
760.0,206.0,206.0,243.0,116.0,0.742203,0.742913,0.989555,2015.05
759.0,207.0,207.0,245.0,135.0,0.741228,0.741935,0.985801,1977.8
758.0,209.0,209.0,243.0,143.0,0.740253,0.740958,0.990384,1960.14
757.0,210.0,210.0,246.0,131.0,0.739279,0.73998,0.984408,1990.15
756.0,212.0,212.0,246.0,135.0,0.738304,0.739003,0.983558,1978.18
755.0,212.0,212.0,253.0,117.0,0.737329,0.738025,0.97944,2008.17
754.0,215.0,215.0,256.0,137.0,0.736355,0.737048,0.976752,1968.56
753.0,216.0,216.0,257.0,132.0,0.73538,0.73607,0.975577,1986.53
752.0,220.0,220.0,254.0,113.0,0.734405,0.735093,0.977964,2018.07
751.0,221.0,221.0,263.0,137.0,0.733431,0.734115,0.967367,1970.83
750.0,221.0,221.0,263.0,123.0,0.732456,0.733138,0.967261,2002.77
749.0,224.0,224.0,260.0,96.0,0.731481,0.73216,0.972978,2063.94
748.0,225.0,225.0,264.0,133.0,0.730507,0.731183,0.966402,1983.88
747.0,227.0,227.0,264.0,136.0,0.729532,0.730205,0.965903,1972.55
746.0,228.0,228.0,265.0,157.0,0.728558,0.729228,0.963571,1941.23
745.0,229.0,229.0,264.0,114.0,0.727583,0.72825,0.964824,2018.58
744.0,229.0,229.0,266.0,152.0,0.726608,0.727273,0.960989,1947.39
743.0,230.0,230.0,268.0,153.0,0.725634,0.726295,0.956436,1945.87
742.0,230.0,230.0,270.0,161.0,0.724659,0.725318,0.953394,1931.66
741.0,231.0,231.0,271.0,158.0,0.723684,0.72434,0.953406,1936.09
740.0,231.0,231.0,271.0,148.0,0.72271,0.723363,0.952383,1950.97
739.0,231.0,231.0,276.0,147.0,0.721735,0.722385,0.94765,1952.36
738.0,232.0,232.0,277.0,160.0,0.72076,0.721408,0.947141,1932.93
737.0,232.0,232.0,278.0,152.0,0.719786,0.72043,0.94471,1946.99
736.0,233.0,233.0,281.0,129.0,0.718811,0.719453,0.941595,1993.93
735.0,234.0,234.0,279.0,161.0,0.717836,0.718475,0.943828,1927.8
734.0,234.0,234.0,283.0,144.0,0.716862,0.717498,0.940236,1957.71
733.0,237.0,237.0,283.0,171.0,0.715887,0.71652,0.939753,1910.47
732.0,238.0,238.0,289.0,155.0,0.714912,0.715543,0.934312,1939.94
731.0,238.0,238.0,286.0,121.0,0.713938,0.714565,0.937188,2004.46
730.0,239.0,239.0,291.0,180.0,0.712963,0.713587,0.931926,1896.35
729.0,244.0,244.0,291.0,142.0,0.711988,0.71261,0.933036,1963.37
728.0,244.0,244.0,293.0,124.0,0.711014,0.711632,0.924488,1999.16
727.0,244.0,244.0,293.0,140.0,0.710039,0.710655,0.923933,1964.94
726.0,246.0,246.0,293.0,155.0,0.709064,0.709677,0.923658,1943.85
725.0,246.0,246.0,294.0,138.0,0.70809,0.7087,0.922417,1967.42
724.0,247.0,247.0,294.0,169.0,0.707115,0.707722,0.922203,1919.18
723.0,247.0,247.0,300.0,165.0,0.70614,0.706745,0.916517,1923.45
722.0,248.0,248.0,297.0,158.0,0.705166,0.705767,0.918493,1936.07
721.0,252.0,252.0,299.0,169.0,0.704191,0.70479,0.916136,1915.36
720.0,252.0,252.0,299.0,166.0,0.703216,0.703812,0.917662,1922.84
719.0,252.0,252.0,306.0,162.0,0.702242,0.702835,0.906581,1926.82
718.0,255.0,255.0,302.0,135.0,0.701267,0.701857,0.913286,1974.29
717.0,255.0,255.0,307.0,184.0,0.700292,0.70088,0.906928,1888.73
716.0,257.0,257.0,305.0,145.0,0.699318,0.699902,0.910128,1959.85
715.0,258.0,258.0,312.0,147.0,0.698343,0.698925,0.900073,1953.63
714.0,262.0,262.0,307.0,188.0,0.697368,0.697947,0.905695,1880.53
713.0,262.0,262.0,314.0,179.0,0.696394,0.69697,0.899344,1899.3
712.0,263.0,263.0,311.0,160.0,0.695419,0.695992,0.90144,1935.26
711.0,263.0,263.0,316.0,145.0,0.694444,0.695015,0.895452,1958.49
710.0,264.0,264.0,318.0,166.0,0.69347,0.694037,0.893403,1923.27
709.0,265.0,265.0,317.0,180.0,0.692495,0.69306,0.893085,1894.13
708.0,267.0,267.0,318.0,182.0,0.69152,0.692082,0.891761,1891.05
707.0,269.0,269.0,321.0,171.0,0.690546,0.691105,0.887616,1914.29
706.0,269.0,269.0,323.0,169.0,0.689571,0.690127,0.884699,1917.18
705.0,272.0,272.0,321.0,181.0,0.688596,0.68915,0.887479,1895.48
704.0,272.0,272.0,328.0,187.0,0.687622,0.688172,0.881782,1881.48
703.0,274.0,274.0,331.0,187.0,0.686647,0.687195,0.875178,1883.8
702.0,275.0,275.0,330.0,185.0,0.685673,0.686217,0.880136,1886.57
701.0,276.0,276.0,332.0,179.0,0.684698,0.685239,0.872337,1900.17
700.0,279.0,279.0,332.0,169.0,0.683723,0.684262,0.873944,1919.37
699.0,279.0,279.0,333.0,179.0,0.682749,0.683284,0.871288,1899.36
698.0,281.0,281.0,335.0,162.0,0.681774,0.682307,0.867625,1927.58
697.0,284.0,284.0,333.0,191.0,0.680799,0.681329,0.871101,1876.17
696.0,285.0,285.0,335.0,187.0,0.679825,0.680352,0.868076,1882.15
695.0,286.0,286.0,335.0,179.0,0.67885,0.679374,0.86637,1899.04
694.0,288.0,288.0,338.0,194.0,0.677875,0.678397,0.863687,1864.93
693.0,288.0,288.0,338.0,179.0,0.676901,0.677419,0.862745,1899.16
692.0,288.0,288.0,339.0,176.0,0.675926,0.676442,0.858818,1903.17
691.0,290.0,290.0,340.0,190.0,0.674951,0.675464,0.85619,1876.74
690.0,293.0,293.0,339.0,171.0,0.673977,0.674487,0.858209,1910.33
689.0,295.0,295.0,343.0,155.0,0.673002,0.673509,0.84727,1944.12
688.0,296.0,296.0,342.0,179.0,0.672027,0.672532,0.85109,1896.45
687.0,298.0,298.0,343.0,195.0,0.671053,0.671554,0.848749,1864.77
686.0,299.0,299.0,343.0,194.0,0.670078,0.670577,0.846788,1865.88
685.0,300.0,300.0,344.0,195.0,0.669103,0.669599,0.845292,1862.29
684.0,300.0,300.0,344.0,161.0,0.668129,0.668622,0.843654,1929.84
683.0,301.0,301.0,344.0,181.0,0.667154,0.667644,0.845229,1891.74
682.0,302.0,302.0,354.0,169.0,0.666179,0.666667,0.835814,1915.57
681.0,302.0,302.0,355.0,194.0,0.665205,0.665689,0.831234,1866.28
680.0,302.0,302.0,355.0,188.0,0.66423,0.664712,0.832978,1878.37
